pcs_rider_path,first_name,last_name,country_code,pcs_name,team,age,date_of_birth,wins_total,wins_season,racedays_season,top3s_season,top10s_season,pcs_points_season,season,profile_url,fetched_at
ulises-alfredo-castillo,Ulises Alfredo,Castillo,MX,Ulises Alfredo Castillo,Olinka Project,34,1992-03-05,1,0,1,0,0,0,2026,https://www.procyclingstats.com/rider/ulises-alfredo-castillo,2026-09-22T17:08:46
isaac-del-toro,Isaac,Del Toro,MX,Isaac del Toro,UAE Team Emirates - XRG,22,2003-11-27,33,12,57,22,30,2510.0,2026,https://www.procyclingstats.com/rider/isaac-del-toro,2026-09-22T17:08:46
jose-antonio-escarcega-mendizabal,José Antonio,Escarcega,MX,José Antonio Escarcega,,23,2003-05-27,0,0,0,0,0,0,2026,https://www.procyclingstats.com/rider/jose-antonio-escarcega-mendizabal,2026-09-22T17:08:46
eder-frayre,Eder,Frayre,MX,Eder Frayre,L39ION of Los Angeles,34,1991-10-20,1,0,3,1,2,63.0,2026,https://www.procyclingstats.com/rider/eder-frayre,2026-09-22T17:08:46
carlos-alfonso-garcia-trejo,Carlos Alfonso,García,MX,Carlos Alfonso García,,22,2003-11-21,1,0,1,0,0,0,2026,https://www.procyclingstats.com/rider/carlos-alfonso-garcia-trejo,2026-09-22T17:08:46
pascal-eenkhoorn,Pascal,Eenkhoorn,NL,Pascal Eenkhoorn,Soudal Quick-Step,29,1997-02-08,5,0,72,0,2,75.0,2026,https://www.procyclingstats.com/rider/pascal-eenkhoorn,2026-09-22T17:08:46
daan-hoole,Daan,Hoole,NL,Daan Hoole,Decathlon CMA CGM Team,27,1999-02-22,3,0,57,0,4,266.0,2026,https://www.procyclingstats.com/rider/daan-hoole,2026-09-22T17:08:46
menno-huising,Menno,Huising,NL,Menno Huising,Team Visma | Lease a Bike,22,2004-04-08,0,0,54,0,0,52.0,2026,https://www.procyclingstats.com/rider/menno-huising,2026-09-22T17:08:46
bart-lemmen,Bart,Lemmen,NL,Bart Lemmen,Team Visma | Lease a Bike,30,1995-10-14,1,1,54,3,8,363.0,2026,https://www.procyclingstats.com/rider/bart-lemmen,2026-09-22T17:08:46
bauke-mollema,Bauke,Mollema,NL,Bauke Mollema,Lidl - Trek,39,1986-11-26,18,0,46,2,5,98.0,2026,https://www.procyclingstats.com/rider/bauke-mollema,2026-09-22T17:08:46
mathijs-paasschens,Mathijs,Paasschens,NL,Mathijs Paasschens,Bahrain - Victorious,30,1996-03-18,0,0,71,0,0,55.0,2026,https://www.procyclingstats.com/rider/mathijs-paasschens,2026-09-22T17:08:46
mathieu-van-der-poel,Mathieu,Van Der Poel,NL,Mathieu van der Poel,Alpecin - Premier Tech,31,1995-01-19,64,8,44,10,14,1304.0,2026,https://www.procyclingstats.com/rider/mathieu-van-der-poel,2026-09-22T17:08:46
tim-van-dijke,Tim,Van Dijke,NL,Tim van Dijke,Red Bull - BORA - hansgrohe,26,2000-03-15,2,0,50,3,6,402.0,2026,https://www.procyclingstats.com/rider/tim-van-dijke,2026-09-22T17:08:46
tobias-foss,Tobias,Foss,NO,Tobias Foss,Netcompany INEOS,29,1997-05-25,7,1,45,2,4,298.0,2026,https://www.procyclingstats.com/rider/tobias-foss,2026-09-22T17:08:46
tobias-halland-johannessen,Tobias Halland,Johannessen,NO,Tobias Halland Johannessen,Uno-X Mobility,27,1999-08-23,5,1,74,12,30,1497.0,2026,https://www.procyclingstats.com/rider/tobias-halland-johannessen,2026-09-22T17:08:46
andreas-leknessund,Andreas,Leknessund,NO,Andreas Leknessund,Uno-X Mobility,27,1999-05-21,8,1,76,7,12,582.0,2026,https://www.procyclingstats.com/rider/andreas-leknessund,2026-09-22T17:08:46
jorgen-nordhagen,Jørgen,Nordhagen,NO,Jørgen Nordhagen,Team Visma | Lease a Bike,21,2005-01-10,0,0,61,3,15,444.0,2026,https://www.procyclingstats.com/rider/jorgen-nordhagen,2026-09-22T17:08:46
anders-skaarseth,Anders,Skaarseth,NO,Anders Skaarseth,Uno-X Mobility,31,1995-05-07,1,1,66,1,1,100.0,2026,https://www.procyclingstats.com/rider/anders-skaarseth,2026-09-22T17:08:46
embret-svestad-bardseng,Embret,Svestad-Bårdseng,NO,Embret Svestad-Bårdseng,Netcompany INEOS,24,2002-09-01,0,0,74,0,7,291.0,2026,https://www.procyclingstats.com/rider/embret-svestad-bardseng,2026-09-22T17:08:46
george-bennett,George,Bennett,NZ,George Bennett,NSN Cycling Team,36,1990-04-07,4,1,78,1,4,182.0,2026,https://www.procyclingstats.com/rider/george-bennett,2026-09-22T17:08:46
finn-fisher-black,Finn,Fisher-Black,NZ,Finn Fisher-Black,Red Bull - BORA - hansgrohe,24,2001-12-21,6,1,67,7,21,508.0,2026,https://www.procyclingstats.com/rider/finn-fisher-black,2026-09-22T17:08:46
ben-oliver,Ben,Oliver,NZ,Ben Oliver,Modern Adventure Pro Cycling,29,1996-12-17,3,3,40,6,15,317.0,2026,https://www.procyclingstats.com/rider/ben-oliver,2026-09-22T17:08:46
laurence-pithie,Laurence,Pithie,NZ,Laurence Pithie,Red Bull - BORA - hansgrohe,24,2002-07-17,8,6,57,16,24,1093.0,2026,https://www.procyclingstats.com/rider/laurence-pithie,2026-09-22T17:08:46
corbin-strong,Corbin,Strong,NZ,Corbin Strong,NSN Cycling Team,26,2000-04-30,9,1,51,3,11,454.0,2026,https://www.procyclingstats.com/rider/corbin-strong,2026-09-22T17:08:46
christofer-robin-jurado,Christofer Robín,Jurado,PA,Christofer Robín Jurado,Servicio Nacional Aeronaval,30,1995-10-27,6,0,3,0,2,12.0,2026,https://www.procyclingstats.com/rider/christofer-robin-jurado,2026-09-22T17:08:46
mateusz-gajdulewicz,Mateusz,Gajdulewicz,PL,Mateusz Gajdulewicz,ATT Investments,22,2003-12-22,0,0,16,0,1,5.0,2026,https://www.procyclingstats.com/rider/mateusz-gajdulewicz,2026-09-22T17:08:46
jakub-kaczmarek,Jakub,Kaczmarek,PL,Jakub Kaczmarek,Voster Team,32,1993-09-27,5,0,24,0,1,15.0,2026,https://www.procyclingstats.com/rider/jakub-kaczmarek,2026-09-22T17:08:46
michal-kwiatkowski,Michał,Kwiatkowski,PL,Michał Kwiatkowski,Netcompany INEOS,36,1990-06-02,33,1,55,1,1,135.0,2026,https://www.procyclingstats.com/rider/michal-kwiatkowski,2026-09-22T17:08:46
piotr-pekala,Piotr,Pękala,PL,Piotr Pękala,ATT Investments,28,1998-08-04,0,0,29,2,7,71.0,2026,https://www.procyclingstats.com/rider/piotr-pekala,2026-09-22T17:08:46
joao-almeida,João,Almeida,PT,João Almeida,UAE Team Emirates - XRG,28,1998-08-05,23,0,50,5,8,303.0,2026,https://www.procyclingstats.com/rider/joao-almeida,2026-09-22T17:08:46
tiago-antunes,Tiago,Antunes,PT,Tiago Antunes,Efapel Cycling,29,1997-04-09,1,1,21,3,11,118.0,2026,https://www.procyclingstats.com/rider/tiago-antunes,2026-09-22T17:08:46
afonso-eulalio,Afonso,Eulálio,PT,Afonso Eulálio,Bahrain - Victorious,24,2001-09-30,0,0,58,2,11,473.0,2026,https://www.procyclingstats.com/rider/afonso-eulalio,2026-09-22T17:08:46
antonio-morgado,António,Morgado,PT,António Morgado,UAE Team Emirates - XRG,22,2004-01-28,10,4,65,6,15,583.0,2026,https://www.procyclingstats.com/rider/antonio-morgado,2026-09-22T17:08:46
ivo-emanuel-alves,Ivo,Oliveira,PT,Ivo Oliveira,UAE Team Emirates - XRG,30,1996-09-05,7,0,69,3,8,135.0,2026,https://www.procyclingstats.com/rider/ivo-emanuel-alves,2026-09-22T17:08:46
nelson-oliveira,Nelson,Oliveira,PT,Nelson Oliveira,Movistar Team,37,1989-03-06,6,0,65,1,2,120.0,2026,https://www.procyclingstats.com/rider/nelson-oliveira,2026-09-22T17:08:46
iustin-ioan-vaidian,Iustin-Ioan,Văidian,RO,Iustin-Ioan Văidian,MENtoRISE Teem CCN,25,2001-01-05,0,0,6,1,2,8.0,2026,https://www.procyclingstats.com/rider/iustin-ioan-vaidian,2026-09-22T17:08:46
mihajlo-stolic,Mihajlo,Stolić,RS,Mihajlo Stolić,Bahrain Victorious Development Team,22,2004-02-15,0,0,17,1,2,6.0,2026,https://www.procyclingstats.com/rider/mihajlo-stolic,2026-09-22T17:08:46
ali-al-shaikhahmed,Ali,Al Shaikhahmed,SA,Ali Al Shaikhahmed,,26,2000-01-07,0,0,6,0,0,0,2026,https://www.procyclingstats.com/rider/ali-al-shaikhahmed,2026-09-22T17:08:46
jakob-soderqvist,Jakob,Söderqvist,SE,Jakob Söderqvist,Lidl - Trek,23,2003-05-31,6,3,61,7,9,407.0,2026,https://www.procyclingstats.com/rider/jakob-soderqvist,2026-09-22T17:08:46
tilen-finkst,Tilen,Finkšt,SI,Tilen Finkšt,Solution Tech NIPPO Rali,29,1997-07-06,0,0,42,2,12,37.0,2026,https://www.procyclingstats.com/rider/tilen-finkst,2026-09-22T17:08:46
gal-glivar,Gal,Glivar,SI,Gal Glivar,Alpecin - Premier Tech,24,2002-05-01,0,0,54,0,2,138.0,2026,https://www.procyclingstats.com/rider/gal-glivar,2026-09-22T17:08:46
matevz-govekar,Matevž,Govekar,SI,Matevž Govekar,Bahrain - Victorious,26,2000-04-17,4,0,58,0,4,136.0,2026,https://www.procyclingstats.com/rider/matevz-govekar,2026-09-22T17:08:46
luka-mezgec,Luka,Mezgec,SI,Luka Mezgec,Team Jayco AlUla,38,1988-06-27,19,0,42,0,2,48.0,2026,https://www.procyclingstats.com/rider/luka-mezgec,2026-09-22T17:08:46
matej-mohoric,Matej,Mohorič,SI,Matej Mohorič,Bahrain - Victorious,31,1994-10-19,25,0,53,0,4,256.0,2026,https://www.procyclingstats.com/rider/matej-mohoric,2026-09-22T17:08:46
primoz-roglic,Primož,Roglič,SI,Primož Roglič,Red Bull - BORA - hansgrohe,36,1989-10-29,92,1,49,6,18,807.0,2026,https://www.procyclingstats.com/rider/primoz-roglic,2026-09-22T17:08:46
jan-tratnik,Jan,Tratnik,SI,Jan Tratnik,Red Bull - BORA - hansgrohe,36,1990-02-23,12,0,54,0,0,97.0,2026,https://www.procyclingstats.com/rider/jan-tratnik,2026-09-22T17:08:46
martin-svrcek,Martin,Svrček,SK,Martin Svrček,Soudal Quick-Step,23,2003-02-17,0,0,50,1,3,50.0,2026,https://www.procyclingstats.com/rider/martin-svrcek,2026-09-22T17:08:46
athit-poulard,Athit,Poulard,TH,Athit Poulard,Roojai Insurance Winspace,23,2003-01-28,2,2,18,3,8,128.0,2026,https://www.procyclingstats.com/rider/athit-poulard,2026-09-22T17:08:46
heorhii-antonenko,Heorhii,Antonenko,UA,Heorhii Antonenko,Energus Cycling Team,21,2005-04-08,3,2,5,2,2,30.0,2026,https://www.procyclingstats.com/rider/heorhii-antonenko,2026-09-22T17:08:46
matteo-jorgenson,Matteo,Jorgenson,US,Matteo Jorgenson,Team Visma | Lease a Bike,27,1999-07-01,5,0,44,5,11,842.0,2026,https://www.procyclingstats.com/rider/matteo-jorgenson,2026-09-22T17:08:46
brandon-mcnulty,Brandon,Mcnulty,US,Brandon McNulty,UAE Team Emirates - XRG,28,1998-04-02,22,0,55,1,12,564.0,2026,https://www.procyclingstats.com/rider/brandon-mcnulty,2026-09-22T17:08:46
neilson-powless,Neilson,Powless,US,Neilson Powless,EF Education - EasyPost,30,1996-09-03,9,1,19,1,1,39.0,2026,https://www.procyclingstats.com/rider/neilson-powless,2026-09-22T17:08:46
sean-quinn,Sean,Quinn,US,Sean Quinn,EF Education - EasyPost,26,2000-05-10,2,0,51,0,4,189.0,2026,https://www.procyclingstats.com/rider/sean-quinn,2026-09-22T17:08:46
artem-shmidt,Artem,Shmidt,US,Artem Shmidt,Netcompany INEOS,22,2004-01-30,3,2,50,2,7,258.0,2026,https://www.procyclingstats.com/rider/artem-shmidt,2026-09-22T17:08:46
quinn-simmons,Quinn,Simmons,US,Quinn Simmons,Lidl - Trek,25,2001-05-08,9,2,46,4,8,581.0,2026,https://www.procyclingstats.com/rider/quinn-simmons,2026-09-22T17:08:46
kevin-vermaerke,Kevin,Vermaerke,US,Kevin Vermaerke,UAE Team Emirates - XRG,25,2000-10-16,0,0,76,5,11,363.0,2026,https://www.procyclingstats.com/rider/kevin-vermaerke,2026-09-22T17:08:46
lawrence-warbasse,Larry,Warbasse,US,Larry Warbasse,Tudor Pro Cycling Team,36,1990-06-28,2,0,74,2,2,72.0,2026,https://www.procyclingstats.com/rider/lawrence-warbasse,2026-09-22T17:08:46
eric-antonio-fagundez,Eric Antonio,Fagúndez,UY,Eric Antonio Fagúndez,Burgos Burpellet BH,28,1998-08-19,5,1,56,6,16,420.0,2026,https://www.procyclingstats.com/rider/eric-antonio-fagundez,2026-09-22T17:08:46
guillermo-thomas-silva-coussan,Guillermo Thomas,Silva,UY,Guillermo Thomas Silva,XDS Astana Team,24,2001-12-30,12,8,59,13,17,862.0,2026,https://www.procyclingstats.com/rider/guillermo-thomas-silva-coussan,2026-09-22T17:08:46
samandar-janikulov,Samandar,Janikulov,UZ,Samandar Janikulov,7 Saber Uzbekistan Cycling Team,21,2004-11-27,0,0,12,0,1,1.0,2026,https://www.procyclingstats.com/rider/samandar-janikulov,2026-09-22T17:08:46
orluis-aular,Orluis,Aular,VE,Orluis Aular,Movistar Team,29,1996-11-05,12,0,69,2,9,288.0,2026,https://www.procyclingstats.com/rider/orluis-aular,2026-09-22T17:08:46
francisco-penuela,Francisco Joel,Peñuela,VE,Francisco Joel Peñuela,Caja Rural - Seguros RGA,25,2001-02-11,3,2,52,2,4,90.0,2026,https://www.procyclingstats.com/rider/francisco-penuela,2026-09-22T17:08:46
byron-munton,Byron,Munton,ZA,Byron Munton,Modern Adventure Pro Cycling,27,1998-12-12,2,0,52,5,7,235.0,2026,https://www.procyclingstats.com/rider/byron-munton,2026-09-22T17:08:46
